stt,url,address,name,location,confirmed,rate,votes,rest_type,special_diet,price_max,price_min
674,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1777046-Reviews-Tracy_s_Pub-Hanoi.html,"114 Xuan Dieu Street Tay Ho District, Hà Nội 99999 Việt Nam",Tracy's Pub,Hà Nội,Y,4.5,105,"Kiểu Mỹ, Quầy bar, Quán rượu",N,,
675,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15179985-Reviews-Banh_Mi_14-Hanoi.html,"14 Ngõ Huyện Hoàn Kiếm, Hà Nội 100000 Việt Nam",Bánh Mì 14,Hà Nội,Y,5,38,"Cà phê, Đồ ăn nhanh, Cửa hàng thức ăn ngon, Kiểu Việt, Kiểu Á",Y,,
676,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17328412-Reviews-Cafe_Tour-Hanoi.html,"40 Ngõ Huyện Hoan Kiem Dist, Hà Nội 100000 Việt Nam",Cafe Tour,Hà Nội,Y,5,27,"Kiểu Việt, Kiểu Á",Y,465116,46512
677,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d6022528-Reviews-Gecko_Cheap_and_Cheerful_Restaurant-Hanoi.html,"7A Dinh Liet Street Old Quarter, Hà Nội Việt Nam",Gecko Cheap and Cheerful Restaurant,Hà Nội,N,4,205,"Quầy bar, Kiểu Á, Kiểu Việt, Quốc tế",Y,,
678,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10088330-Reviews-The_Deli_Restaurant-Hanoi.html,"52 Bát Sứ, Q. Hoàn Kiếm Tầng trệt, Khách sạn Hà Nội Delano, Hà Nội 10000 Việt Nam",Nhà hàng The Deli,Hà Nội,Y,4.5,63,"Kiểu Tây nam, Kiểu Việt, Kiểu Âu, Súp, Kiểu Á",Y,,
679,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d4166745-Reviews-RedHouse_Hanoi-Hanoi.html,"6A Ham Long Str, Hoan Kiem Dist, Hà Nội 10000 Việt Nam",NHÀ ĐỎ,Hà Nội,Y,4.5,112,"Kiểu Á, Hải sản, Kiểu Việt, Kiểu Singapore",Y,,
680,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d12474220-Reviews-Anita_s_Cantina-Hanoi.html,"36 Quảng Bá, Quận Tây Hồ, Hà Nội Việt Nam",Anita's Cantina,Hà Nội,Y,4.5,62,"Kiểu Mexico, Kiểu Tây nam",Y,350000,30000
681,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d4793521-Reviews-Quan_Nem_Restaurant-Hanoi.html,"Đường Hoàng Đạo Thúy Tầng 2, Toà nhà Udic Complex, Cầu Giấy, Hà Nội 100000 Việt Nam",Quán Nem,Hà Nội,Y,4.5,70,"Kiểu Á, Kiểu Việt",N,,
682,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17779606-Reviews-Khue_Restaurant-Hanoi.html,"46A Nguyễn Trường Tộ Lầu 12, Hanoi Le Jardin Hotel & Spa, Ba Đình, Hà Nội 100000 Việt Nam",Khuê Restaurant,Hà Nội,Y,5,25,"Cửa hàng thức ăn ngon, Kiểu Việt, Kiểu Âu, Tốt cho sức khỏe, Kiểu Á",N,25,15
683,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d8856841-Reviews-Vintage_1976_Coffee-Hanoi.html,"10 Đoàn Trần Nghiệp, Hà Nội 10000 Việt Nam",Vintage 1976 Coffee,Hà Nội,N,4.5,45,"Quầy bar, Cà phê, Kiểu Việt",N,,
684,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1119486-Reviews-Com_Chay_Nang_Tam-Hanoi.html,"79A Pho Tran Hung Dao, Hà Nội Việt Nam",Com Chay Nang Tam,Hà Nội,N,4,150,"Kiểu Á, Kiểu Việt",Y,,
685,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d4045564-Reviews-Quan_An_Ngon-Hanoi.html,"25T2 Hoang Dao Thuy Street 1st floor, 25T2 Building, Hà Nội 084 Việt Nam",Quan An Ngon,Hà Nội,Y,4,85,"Kiểu Á, Kiểu Việt",Y,,
686,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23745557-Reviews-Koki_Capella_Hanoi-Hanoi.html,"11 Le Phung Hieu, Hoan Kiem, Hà Nội Việt Nam",Koki - Capella Hanoi,Hà Nội,Y,5,18,Kiểu Nhật,N,,
687,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d19595496-Reviews-Tropicana_Restaurant-Hanoi.html,"23 Đào Duy Từ Hàng Buồm, Hoàn Kiếm, Hà Nội 100000 Việt Nam",Tropicana Restaurant,Hà Nội,N,5,25,"Kiểu Ý, Pizza",N,,
688,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d13372879-Reviews-Doon_Bread_Hoi_An-Hanoi.html,"20 Hàng Giầy Phường Hàng Buồm, Hà Nội 100000 Việt Nam",Bánh Mì DON Hội An,Hà Nội,Y,5,34,"Đồ ăn nhanh, Kiểu Á, Thức ăn đường phố, Kiểu Việt, Tốt cho sức khỏe",Y,25000,20000
689,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d2067958-Reviews-City_View_Cafe-Hanoi.html,"1-3-5 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội 10000 Việt Nam",Quán Cà phê City View,Hà Nội,Y,3.5,515,"Kiểu Á, Kiểu Việt, Quầy bar, Cà phê",N,,
690,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d19489255-Reviews-GrannyT_s_Restaurant_B_p_Ba_Thai-Hanoi.html,"22 Chan Cam Street First Floor, Hoan Kiem District, Hà Nội 100000 Việt Nam",GrannyT's Restaurant - Bếp Bà Thái,Hà Nội,Y,5,32,"Kiểu Á, Kiểu Việt",N,697674,232558
691,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d12804629-Reviews-Banh_Cuon_Ky_Dong-Hanoi.html,"11 Tống Duy Tân, Hà Nội Việt Nam",Bánh Cuốn Kỳ Đồng,Hà Nội,N,4.5,42,"Kiểu Việt, Kiểu Á",Y,,
692,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d4224027-Reviews-Golden_Dragon_Restaurant_Hanoi_Hotel-Hanoi.html,"D8 Giảng Võ Ba Đình, Hà Nội 100000 Việt Nam",Nhà hàng Golden Dragon - Khách sạn Hà Nội,Hà Nội,Y,4.5,40,"Kiểu Trung Quốc, Kiểu Á",N,,
693,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7751488-Reviews-Thanh_Hop_Pho_Ga-Hanoi.html,"12 Dinh Liet Hoan Kiem, Hà Nội 10000 Việt Nam",Thanh Hop Pho Ga,Hà Nội,N,4.5,64,"Kiểu Á, Kiểu Việt, Súp",Y,,
694,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10200124-Reviews-Banh_Cuon_Nong-Hanoi.html,"14B Bảo Khánh, Quận Hoàn Kiếm, Hà Nội 10000 Việt Nam",Banh Cuon Nong,Hà Nội,N,4.5,45,"Kiểu Việt, Kiểu Á",N,,
695,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d12556426-Reviews-Banh_mi_Pho-Hanoi.html,"61E Hàng Mã Ngã tư Hàng Đồng - Hàng Mã, Hà Nội 100000 Việt Nam",Bánh mì Phố,Hà Nội,Y,4.5,43,"Đồ ăn nhanh, Kiểu Việt, Kiểu Bữa tối, Kiểu Á",Y,65000,20000
696,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d4877872-Reviews-Casa_Italia-Hanoi.html,"18 Le Phung Hieu Street, Hà Nội 10000 Việt Nam",Casa Italia,Hà Nội,N,4,113,"Kiểu Ý, Kiểu Âu, Pizza",Y,,
697,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d16820715-Reviews-San_He_Tam_Hoa_Vien-Hanoi.html,"Lô B4-01 Vinhomes Gardenia Hàm Nghi, Hà Nội 100000 Việt Nam",San Hé Tam Hòa Viên,Hà Nội,Y,5,30,"Kiểu Trung Quốc, Kiểu Á, Kiểu Việt, Kiểu Đài Loan",N,499,199
698,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d2433438-Reviews-Bia_Hoi_Ha_Noi-Hanoi.html,"9B TA Hien, Hà Nội 10000 Việt Nam",Bia Hoi Ha Noi,Hà Nội,Y,4,129,"Kiểu Việt, Quầy bar",N,,
699,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d14450790-Reviews-Phuc_Thanh_Restaurant_Nha_hang_Phuc_Thanh-Hanoi.html,"685 Lạc Long Quân Phú Thượng, Tây Hồ, Hà Nội 100000 Việt Nam",Nhà Hàng Phúc Thành,Hà Nội,Y,5,32,"Hải sản, Kiểu Việt, Nhà hàng bít tết, Kiểu Âu",N,,
700,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d3589053-Reviews-Pho_Bo_Ga-Hanoi.html,"32 Bát Đàn Hoàn Kiếm, Hà Nội 10000 Việt Nam","Phở Bò, Gà",Hà Nội,Y,4,92,"Đồ ăn nhanh, Kiểu Á, Kiểu Việt, Súp",N,,
701,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d4587064-Reviews-Ming_Restaurant-Hanoi.html,"1 Thanh Nien road, Ba Dinh district, Hà Nội 10000 Việt Nam",Ming Restaurant,Hà Nội,Y,4.5,98,"Kiểu Á, Kiểu Trung Quốc",Y,,
702,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7168545-Reviews-Pho_Cuon_Huong_Mai-Hanoi.html,"25 Ngũ Xã Ba Đình, Hà Nội 100000 Việt Nam",Phở Cuốn Hương Mai,Hà Nội,Y,4.5,55,"Kiểu Á, Kiểu Việt",N,232558,93023
703,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7275988-Reviews-Pharaoh_s_Bar_Upper-Hanoi.html,"54 Lieu Giai Street, Ba Dinh District 63-64F, Lotte Hotel Hanoi, Hà Nội 10000 Việt Nam",Pharaoh's Bar & Upper,Hà Nội,Y,4.5,72,"Quầy bar, Kiểu Âu, Quán rượu, Quầy rượu vang",N,,
704,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d9729900-Reviews-RICO_South_American_Steakhouse-Hanoi.html,"56 Tran Quoc Toan Intersection with Truong Han Sieu street, Hà Nội 10000 Việt Nam",RICO - South American Steakhouse,Hà Nội,Y,4.5,71,"Nhà hàng bít tết, Kiểu Âu",N,1860465,69767
705,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d2079482-Reviews-The_Rooftop_Bar_and_Restaurant-Hanoi.html,"Số 83B, Lý Thường Kiệt, Hoàn Kiếm Tầng 19, tòa nhà Pacific Place, Hà Nội 100000 Việt Nam",Nhà hàng The Rooftop,Hà Nội,Y,4,224,"Quầy bar, Kiểu Việt",N,11627907,116279
706,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d5461343-Reviews-Sunset_Bar-Hanoi.html,"5 Từ Hoa, Tây Hồ Intercontinental Hotel, Hà Nội 10000 Việt Nam",Sunset Bar,Hà Nội,Y,4.5,49,"Quầy bar, Quán rượu",N,,
707,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1010409-Reviews-Tandoor-Hanoi.html,"24 Hàng Bè Hoàn Kiếm, Hà Nội 100000 Việt Nam",Tandoor,Hà Nội,Y,3.5,347,Kiểu Ấn Độ,Y,465116,186047
708,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d808370-Reviews-Pane_e_Vino-Hanoi.html,"3 Nguyen Khac Can Hoan Kiem, Hà Nội 10000 Việt Nam",Pane e Vino,Hà Nội,Y,4,192,"Kiểu Ý, Pizza, Kiểu Âu",Y,860465,69767
709,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d13349868-Reviews-MK_Banh_Mi-Hanoi.html,"72-74 Hàng Buồm Hoàn Kiếm, Hà Nội 100000 Việt Nam",MK Banh Mi,Hà Nội,Y,5,29,"Cà phê, Kiểu Á, Kiểu Việt, Thức ăn đường phố, Đồ ăn nhanh",Y,50000,25000
710,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1982718-Reviews-Pho_Cuon_31-Hanoi.html,"31 Ngũ Xã Ba Đình, Hà Nội 100000 Việt Nam",Phở Cuốn 31 Ngũ Xã,Hà Nội,Y,4.5,68,"Phù hợp với người ăn chay, Tùy chọn ăn chay",Y,,
711,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d2045474-Reviews-Cafe_du_Lac-Hanoi.html,"5 Tu Hoa street Tay Ho distrcit, Hà Nội 10000 Việt Nam",Cafe Dulac,Hà Nội,Y,4.5,62,"Kiểu Âu, Quốc tế, Kiểu Á, Kiểu Việt, Kiểu Bữa tối",Y,,
712,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10746225-Reviews-The_Fat_Pig_Con_Heo_Beo_Restaurant-Hanoi.html,"74 Quảng An Q. Tây Hồ, Hà Nội 100000 Việt Nam",Nhà Hàng The Fat Pig - Con Heo Beo,Hà Nội,Y,4,94,"Quầy bar, Đồ nướng",N,,
713,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d13076646-Reviews-Westlake_Station-Hanoi.html,"24 To Ngoc Van Street, Hà Nội Việt Nam",Westlake Station,Hà Nội,Y,4.5,43,"Kiểu Pháp, Quầy bar, Pizza, Quầy rượu vang, Kiểu Âu",Y,380,50
714,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d6570855-Reviews-Com_Pho_12-Hanoi.html,"12 Ly Quoc Su, Hang Trong, Hoan Kiem Ha Noi, Hà Nội 12 Lý Quốc Sư, Hàng Trống, Hoàn Kiếm Hà Nội Việt Nam",Com & Pho 12,Hà Nội,N,4,82,"Kiểu Á, Kiểu Việt",Y,,
715,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d8845497-Reviews-Hanoi_Sandwich_House-Hanoi.html,"8 Tay Ho Street, Hà Nội 10000 Việt Nam",Hanoi Sandwich House,Hà Nội,Y,4.5,68,Cà phê,Y,,
716,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10821442-Reviews-CCraft_Beer_Restaurant_45A_Luong_Ngoc_Quyen-Hanoi.html,"45 A Lương Ngọc Quyến, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000 Việt Nam",Nhà hàng C CRAFT BEER 45 A Lương Ngọc Quyến,Hà Nội,Y,4.5,66,"Quầy bar, Quán rượu",N,,
717,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d9587048-Reviews-Che_Huong_Hai_93_Hang_Bac-Hanoi.html,"Phố Hàng Bạc 93 Hoan Kiem, Hà Nội 10000 Việt Nam",Chè hương hải 93 hàng bạc,Hà Nội,N,4.5,39,"Kiểu Á, Kiểu Việt",N,,
718,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d11707656-Reviews-Tet_Bar-Hanoi.html,"Số 2A Tạ Hiện, Hà Nội 100000 Việt Nam",Tết Bar,Hà Nội,N,5,33,"Quầy bar, Cà phê, Quán rượu",N,100000,50000
719,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7208415-Reviews-Mon_Hue_Restaurant-Hanoi.html,"37 Lý Quốc Sư, Quận Hoàn Kiếm, Hà Nội 10000 Việt Nam",Nhà Hàng Món Huế,Hà Nội,N,4,149,"Kiểu Á, Kiểu Việt",Y,,
720,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1161350-Reviews-Wild_Lotus-Hanoi.html,"55A Nguyen Du Street, Hà Nội Việt Nam",Nhà hàng Dã Liên,Hà Nội,N,4,296,"Kiểu Á, Kiểu Việt",Y,,
721,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1124677-Reviews-La_Salsa-Hanoi.html,"05 Bùi Thị Xuân, Hà Nội 100000 Việt Nam",La Salsa,Hà Nội,Y,4,164,"Kiểu Âu, Kiểu Tây Ban Nha",N,,
722,https://www.tripadvisor.com.vn/Restaurant_Review-g21301834-d23747119-Reviews-Mexican_Choice_Art-Tay_Ho_Hanoi.html,"Tay Ho 21, Tay Ho, Hà Nội Việt Nam",Mexican Choice Art,Hà Nội,Y,5,17,"Kiểu Mexico, Kiểu La tinh, Tốt cho sức khỏe, Kiểu Tây Ban Nha",N,,
723,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d6534486-Reviews-Vi_Quang_Restaurant-Hanoi.html,"35 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội 10000 Việt Nam",Vị Quảng,Hà Nội,Y,4.5,57,"Kiểu Á, Kiểu Việt",Y,232558,46512
724,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10842948-Reviews-HealthWich_To_Ngoc_Van-Hanoi.html,"26 Tô Ngọc Vân, Tây Hồ, Hà Nội 100000 Việt Nam",Healthwich Tô Ngọc Vân,Hà Nội,Y,4.5,47,"Kiểu Ý, Kiểu Mỹ, Cà phê, Kiểu Việt",Y,100000,40000
725,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15693433-Reviews-Bun_Cha_Dac_Kim_Hang_Manh-Hanoi.html,"1 Hàng Mành Hàng Gai, Hoàn Kiếm, Hà Nội 100000 Việt Nam",Bún Chả Đắc Kim - Hàng Mành,Hà Nội,Y,4,61,"Kiểu Á, Kiểu Việt",N,,
726,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d13336319-Reviews-The_Clover_at_Ngoc_Thuy-Hanoi.html,"14 Ngõ 53 Ngọc Thụy quận Long Biên, Hà Nội 100000 Việt Nam",The Clover at Ngoc Thuy,Hà Nội,Y,4.5,45,"Kiểu Pháp, Quốc tế, Quầy rượu vang, Kiểu Âu",Y,100,35
727,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10476580-Reviews-Little_Vietnam-Hanoi.html,"24 Lý Quốc Sư Hàng Buồm, Hoàn Kiếm, Hà Nội 100000 Việt Nam",Little Vietnam,Hà Nội,Y,4,107,"Kiểu Á, Kiểu Việt",Y,,
728,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1195676-Reviews-La_Lua_Wild_Rice-Hanoi.html,"6 Ngo Thi Nham St, Hà Nội 10000 Việt Nam",La Lua (Wild Rice),Hà Nội,N,4,210,"Kiểu Á, Kiểu Việt",Y,,
729,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15082733-Reviews-Mother_s_Kitchen_Vietnamese_Restaurant-Hanoi.html,"12A Hàng Than Ba Đình, Hà Nội 100000 Việt Nam",Mother's Kitchen Vietnamese Restaurant,Hà Nội,Y,4.5,42,"Kiểu Việt, Kiểu Á",Y,697674,69767
730,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10839045-Reviews-Gecko_Cheap_Cheerlful_Restaurant-Hanoi.html,"2 Hàng Bông Hoàn Kiếm, Hà Nội 100000 Việt Nam",Gecko Cheap & Cheerlful Restaurant,Hà Nội,N,4.5,35,"Pizza, Kiểu Việt",Y,300,20
731,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d13818040-Reviews-Turtle_Lake_Brewing-Hanoi.html,"105 Quang Khanh, Hà Nội Việt Nam",Turtle Lake Brewing,Hà Nội,Y,4.5,46,"Kiểu Mỹ, Nhà hàng bán bia, Quầy bar, Kiểu Âu, New Zealand, Quán rượu",N,,
732,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10088279-Reviews-The_Church-Hanoi.html,"Số 1 Nhà Thờ Q. Hoàn Kiếm, Hà Nội 10000 Việt Nam",The Church Cafe & Restaurant,Hà Nội,Y,4,159,"Kiểu Việt, Quầy bar",Y,465116,46512
733,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d18114556-Reviews-Banh_Mi_Hai_Map-Hanoi.html,"23 Hàng Đường, Hà Nội 110303 Việt Nam",Bánh Mì Hai Mập,Hà Nội,Y,5,23,"Kiểu Việt, Đồ ăn nhanh, Cửa hàng thức ăn ngon, Thức ăn đường phố",N,69767,46512
734,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7157554-Reviews-Goc_Da-Hanoi.html,"52 Lý Quốc Sư, Hà Nội 10000 Việt Nam",Quán Gốc Đa,Hà Nội,N,4.5,43,"Đồ ăn nhanh, Kiểu Á, Kiểu Việt",N,,
735,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10289872-Reviews-Huyen_Dung_Restaurant-Hanoi.html,"4 Lý Thái Tổ, Q. Hoàn Kiếm, Hà Nội 100000 Việt Nam",Nhà Hàng Huyền Dung,Hà Nội,Y,4,73,"Kiểu Á, Kiểu Việt, Thức ăn đường phố",Y,210000,40000
736,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d8004544-Reviews-Linh_s_Kitchen-Hanoi.html,"22 Mã Mây, Quận Hoàn Kiếm, Hà Nội 10000 Việt Nam",Linh's Kitchen,Hà Nội,Y,4,100,"Đồ nướng, Kiểu Á, Kiểu Việt",Y,,
737,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17569035-Reviews-Bun_Cha_Burger-Hanoi.html,"43B Trúc Bạch Ba Đình, Hà Nội 100000 Việt Nam",Bún Chả Burger,Hà Nội,Y,5,22,Kiểu Việt,Y,160,76
738,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d19259740-Reviews-Xoi_Xiu_Char_Siu_Sticky_Rice-Hanoi.html,"63 Hàng Lược, Hà Nội 100000 Việt Nam",Xôi Xíu,Hà Nội,Y,5,21,"Kiểu Á, Kiểu Việt",N,45000,25000
739,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d3983359-Reviews-Hong_Ngoc_Dynastie_restaurant-Hanoi.html,"29 - 30 - 34 Hàng Manh, Hoàn Kiếm, Hà Nội 10000 Việt Nam",Hong Ngoc Dynastie restaurant,Hà Nội,Y,4.5,61,"Kiểu Việt, Kiểu Á",Y,697674,116279
740,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10606715-Reviews-Fu_Rong_Hua_Cantonese_Restaurant-Hanoi.html,"9 Đinh Tiên Hoàng, P. Hàng Trống, Q. Hoàn Kiếm 09 Dinh Tien Hoang, Hoan Kiem District, Hà Nội 10000 Việt Nam",Nhà hàng Fu Rong Hua,Hà Nội,Y,3.5,240,"Kiểu Trung Quốc, Kiểu Á",Y,2147483647,2147483647
741,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1440395-Reviews-Com_Viet_Restaurant-Hanoi.html,"63 Pham Hong Thai str, Ba Dinh dist,, Hà Nội Việt Nam",Com Viet Restaurant,Hà Nội,Y,4.5,66,"Kiểu Á, Kiểu Việt",Y,930233,232558
742,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d9458104-Reviews-Chibo-Hanoi.html,"Số 5 Kim Mã. P. Ngọc Khánh, Q. Ba Đình, Hà Nội 10000 Việt Nam",Chibo,Hà Nội,Y,4,49,"Kiểu Nhật, Kiểu Á",N,490,68
743,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d5211790-Reviews-Anbien_Eatery-Hanoi.html,"111 Triệu Việt Vương Bùi Thị Xuân, Hai Bà Trưng, Hà Nội 100000 Việt Nam",Nhà Hàng An Biên,Hà Nội,Y,4.5,52,"Kiểu Á, Kiểu Việt, Đồ ăn nhanh, Tốt cho sức khỏe, Thức ăn đường phố",Y,232558,69767
744,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1535840-Reviews-Hanoi_Cooking_Centre_Cafe-Hanoi.html,"44 Chau Long St. Ba Dinh District, Hà Nội Việt Nam",Hanoi Cooking Centre Cafe,Hà Nội,Y,4.5,57,"Kiểu Á, Kiểu Việt, Cà phê",Y,,
745,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d13430584-Reviews-Sparta_Beer_Club-Hanoi.html,"165 Thái Hà Toà nhà Sông Hồng, Tầng M, Hà Nội 122003 Việt Nam",Sparta Beer Club,Hà Nội,Y,4.5,36,"Nhà hàng bán bia, Quầy bar, Hải sản, Kiểu Á, Quán rượu, Quầy rượu vang, Kiểu Việt",N,1000000,200000
746,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10465400-Reviews-Banh_Beo_Cho_Do-Hanoi.html,"14 Nhà Chung, Q. Hoàn Kiếm, Hà Nội 100000 Việt Nam",Quán Bánh Bèo Chợ Đổ,Hà Nội,Y,4.5,33,"Hải sản, Thức ăn đường phố, Súp",N,60000,15000
747,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d6684208-Reviews-The_Sushi_Club-Hanoi.html,"10A Quảng An Tây Hồ, Hà Nội 100000 Việt Nam",The Sushi Club,Hà Nội,Y,4,68,"Kiểu Nhật, Sushi, Kiểu Á, Món kết hợp",Y,,
748,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7083942-Reviews-Leu_Coffee-Hanoi.html,"Tầng 2, số 1, Tạ Hiện, Q. Hoàn Kiếm, Hà Nội 10000 Việt Nam",Lều Coffee,Hà Nội,Y,5,31,"Cà phê, Quầy bar, Quán rượu, Kiểu Việt",N,,
749,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d2060321-Reviews-Mam_restaurant-Hanoi.html,"13 11, Hang Mam, Hà Nội 10000 Việt Nam",Mam restaurant,Hà Nội,Y,3.5,224,"Kiểu Việt, Kiểu Á",Y,1395349,232558
750,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7945972-Reviews-Rue_Des_Seaux_Restaurant-Hanoi.html,"21 Hàng Thùng, Quận Hoàn Kiếm, Hà Nội 10000 Việt Nam",Rue Des Seaux Restaurant,Hà Nội,Y,4.5,56,"Kiểu Á, Kiểu Việt, Quốc tế",Y,1162791,69767
751,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10205546-Reviews-The_Hut_Cafe-Hanoi.html,"162 Từ Hoa Dưới Sheraton, Hà Nội 100000 Việt Nam",The Hut Cafe,Hà Nội,Y,5,35,"Quầy bar, Đồ ăn nhanh",Y,,
752,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d2241727-Reviews-Kimono_Japanese_Restaurant-Hanoi.html,"52-54 Lý Thường Kiệt, Hà Nội Việt Nam",Kimono Japanese Restaurant,Hà Nội,Y,4,110,"Kiểu Nhật, Sushi, Kiểu Á",Y,,
753,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d8827468-Reviews-Tierra_Wine_Bar-Hanoi.html,"02 Nguyen Quyen Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội 10000 Việt Nam",Tierra Wine Bar,Hà Nội,Y,4.5,31,"Kiểu Âu, Quầy rượu vang, Kiểu Pháp, Quầy bar",Y,,
754,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d3183575-Reviews-Pacifica-Hanoi.html,"1 Thanh Nien Road, Hà Nội 10000 Việt Nam",Pacifica,Hà Nội,Y,4.5,51,"Kiểu Pháp, Kiểu Á, Quốc tế",N,,
755,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d3968183-Reviews-Greet_Restaurant_Hanoi_Vietnam-Hanoi.html,"20 Bat Dan, Hà Nội 10000 Việt Nam","Greet Restaurant, Hanoi, Vietnam",Hà Nội,N,4,97,"Kiểu Á, Kiểu Việt",Y,,
756,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1124699-Reviews-Seasons_Of_Hanoi-Hanoi.html,"95B Pho Quan Thanh Ba Dinh, Hà Nội Việt Nam",Seasons Of Hanoi,Hà Nội,N,3.5,242,"Kiểu Việt, Kiểu Á",N,,
757,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d11921611-Reviews-Bun_Ca_Sam_Cay_Si-Hanoi.html,"5 Ngõ Trung Yên Đinh Liệt, Hoàn Kiếm, Hà Nội Việt Nam",Bún Cá Sâm Cây Si,Hà Nội,N,5,24,"Kiểu Á, Kiểu Việt, Hải sản",N,,
